id;character;origin_dialogue;translated_dialogue
SACO001RA;RA;Oh, yeah. Come to poppa!;
SACO002SA;SA;Raz, what have you done? This is not control! This is chaos!;
SACO003SA;SA;I'll try to fix it. You stay here and keep their numbers under control.;
SAFB004SA;SA;This is a censor.;
SAIN001SA;SA;Welcome to my mind.;
SAIN002RA;RA;Huh. It's so empty.;
SAIN003RA;RA;Uh, I mean--;
SAIN004SA;SA;There's more here than meets the eye, but I've learned to keep it under strict control.;
SAIN005SA;SA;And that's what I'm going to teach you: control.;
SAIN006SA;SA;Your feelings, your fears, your anger. You must learn to control them, focus them, concentrate them, and release them.;
SAIN007RA;RA;As therapy?;
SAIN008SA;SA;No, as firepower!;
SAIN009SA;SA;Say something hideous and horrible jumps out at you. Something so disgusting that it simply must die.;
SAIN010SA;SA;Ahhh, oh, so tacky... I… can't... look... directly at it!;
SAIN011SA;SA;But I control those feelings, focus them, concentrate, and…;
SAIN012SA;SA;…release!;
SAIN013SA;SA;And the world is a better place.;
SAIN014SA;SA;Your turn.;
SAIN015RA;RA;Okay...;
SAIN016RA;RA;Hggfgg!  Gahhh!;
SAIN017SA;SA;Excellent. A victory for good taste.;
SAIN018SA;SA;Now, you must strive for precision when targeting. Say you were set upon by multiple attackers.;
SAIN019SA;SA;Eh.;
SAIN020SA;SA;Yecch.;
SAIN021SA;SA;Bleh.;
SAIN022SA;SA;But you need to dispense with them in a certain order. Eliminate these monsters in the proper sequence and we can move on to the next lesson.;
SAMC001SA;SA;Young man, I hope you've learned a lesson here today.;
SAMC002RA;RA;Yes I have.;
SAMC003RA;RA;That shooting things is fun and useful.;
SAMC004SA;SA;No, that once you lose control of your own mind, it's very hard to get it back!;
SAMC005RA;RA;Yes. One's thoughts must be 100% controlled at all times!;
SAMC006SA;SA;Well, no. Actually, if you try to completely suppress your undesirable feelings, they'll build and build and eventually explode.;
SAMC007RA;RA;Oh. So, uh, what would happen if you were to, say, completely block off all your censor outlets?;
SAMC008SA;SA;Well, there would be a buildup of censor energy within, that would... uh… eventually…;
SAMC009SA;SA;Run, Razputin. Very fast.;
SAMC010SA;SA;You are my own creation. I command you to stop!;
SAMC012SA;SA;Ahhhhhhh!;
SAMC013SA;SA;Razputin, it's time to earn your merit badge!;
SASE001SA;SA;Again.;
SASE002SA;SA;Come now. Focus.;
SASE003SA;SA;Shoot!;
SASE004SA;SA;Repeat.;
SASE005SA;SA;What are you waiting for?;
SASE006SA;SA;Let's get moving.;
SASE007SA;SA;Excellent.;
SASE008SA;SA;Control.;
SASE009SA;SA;Focus.;
SASE010SA;SA;Concentrate.;
SASE011SA;SA;Release.;
SASE012SA;SA;Try it again.;
SASS001SA;SA;Ahhhhh!;
SASS002SA;SA;Ach!;
SASS003SA;SA;Ai-ai-ai-ai-ai!;
SASS004SA;SA;Razputin!;
SASS005SA;SA;Oooh-ooh-oooh...;
SASS006SA;SA;Peel me off and put me down!;
SASS007SA;SA;Enough!;
SASS008SA;SA;Oof!;
SASS009SA;SA;Uggg!;
SASS010SA;SA;Ow!;
SASS011SA;SA;Gahhhh!;
SAAB001SA;SA;No, Raz, shoot them in order. Let's try this again.;
SAAC002RA;RA;This is controlled by that dial over there.;
SAAD003RA;RA;This is going to take forever. I wonder if I can speed it up somehow.;
SAAD004RA;RA;I wonder what would happen if I turned that dial up.;
SACD001RA;RA;So, is this where I get a speech and learn another lesson?;
SACD002SA;SA;No. Here's your merit badge. Let us never speak of this again.;
SAFB001SA;SA;Now then...;
SAFB002SA;SA;Is this what you saw in your vision?;
